10-12-2024 23:45:13GET/{"host":"localhost:3000","connection":"keep-alive","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"none","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32"}
11-12-2024 00:48:49GET/auth/signup{"host":"localhost:3001","connection":"keep-alive","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","referer":"http://localhost:3001/auth/login","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak","if-none-match":"W/\"3dc-1C5YfEojEygFquQpFker8sxh+9g\""}
11-12-2024 00:48:50GET/auth/login{"host":"localhost:3001","connection":"keep-alive","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","referer":"http://localhost:3001/auth/signup","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak","if-none-match":"W/\"3f9-pAjIzzGuPhprTk9+NM0igYBkwss\""}
11-12-2024 00:49:05GET/auth/login{"host":"localhost:3001","connection":"keep-alive","cache-control":"max-age=0","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","referer":"http://localhost:3001/auth/signup","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak","if-none-match":"W/\"3f9-pAjIzzGuPhprTk9+NM0igYBkwss\""}
11-12-2024 00:49:36GET/auth/login{"host":"localhost:3001","connection":"keep-alive","cache-control":"max-age=0","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","referer":"http://localhost:3001/auth/signup","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak","if-none-match":"W/\"3e4-O9j4M+z9cgO2vqoTVdq5J1+rIbE\""}
11-12-2024 00:49:51GET/auth/login{"host":"localhost:3001","connection":"keep-alive","cache-control":"max-age=0","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","referer":"http://localhost:3001/auth/signup","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak","if-none-match":"W/\"3e6-EIYCm8YO6YL3KEf11V/OGUF7w/g\""}
11-12-2024 00:49:59GET/auth/login{"host":"localhost:3001","connection":"keep-alive","cache-control":"max-age=0","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","referer":"http://localhost:3001/auth/signup","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak","if-none-match":"W/\"3e6-EIYCm8YO6YL3KEf11V/OGUF7w/g\""}
11-12-2024 00:51:01GET/auth/signup{"host":"localhost:3001","connection":"keep-alive","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"none","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak","if-none-match":"W/\"3dc-1C5YfEojEygFquQpFker8sxh+9g\""}
11-12-2024 00:51:49GET/auth/signup{"host":"localhost:3001","connection":"keep-alive","cache-control":"max-age=0","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"none","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak","if-none-match":"W/\"3bf-UAxMzOEvcCafK8QFbXj4g6WpZfc\""}
11-12-2024 00:51:52GET/auth/login{"host":"localhost:3001","connection":"keep-alive","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","referer":"http://localhost:3001/auth/signup","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak","if-none-match":"W/\"3ea-LWzoxJX7CNka95lcT/khbCA42hM\""}
11-12-2024 00:52:06GET/auth/login{"host":"localhost:3001","connection":"keep-alive","cache-control":"max-age=0","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","referer":"http://localhost:3001/auth/signup","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak","if-none-match":"W/\"3ea-LWzoxJX7CNka95lcT/khbCA42hM\""}
11-12-2024 00:52:10GET/auth/signup{"host":"localhost:3001","connection":"keep-alive","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","referer":"http://localhost:3001/auth/login","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak","if-none-match":"W/\"3bf-+8xaKXKjyfA9ZhpY3m/MQuL+S7M\""}
11-12-2024 00:52:13GET/auth/login{"host":"localhost:3001","connection":"keep-alive","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","referer":"http://localhost:3001/auth/signup","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak","if-none-match":"W/\"3ed-IIVc+APyPweMBR3gGnUqd8QzcAA\""}
11-12-2024 00:52:14GET/auth/signup{"host":"localhost:3001","connection":"keep-alive","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","referer":"http://localhost:3001/auth/login","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak","if-none-match":"W/\"3bf-+8xaKXKjyfA9ZhpY3m/MQuL+S7M\""}
11-12-2024 00:57:20GET/auth/login{"host":"localhost:3001","connection":"keep-alive","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"none","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak","if-none-match":"W/\"3ed-IIVc+APyPweMBR3gGnUqd8QzcAA\""}
11-12-2024 00:57:36POST/auth/login{"host":"localhost:3001","connection":"keep-alive","content-length":"29","cache-control":"max-age=0","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","origin":"http://localhost:3001","content-type":"application/x-www-form-urlencoded","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","referer":"http://localhost:3001/auth/login","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak"}
11-12-2024 00:57:36GET/auth/login{"host":"localhost:3001","connection":"keep-alive","cache-control":"max-age=0","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","referer":"http://localhost:3001/auth/login","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak"}
11-12-2024 00:57:39GET/auth/signup{"host":"localhost:3001","connection":"keep-alive","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","referer":"http://localhost:3001/auth/login","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak","if-none-match":"W/\"3bf-+8xaKXKjyfA9ZhpY3m/MQuL+S7M\""}
11-12-2024 00:57:45POST/auth/signup{"host":"localhost:3001","connection":"keep-alive","content-length":"25","cache-control":"max-age=0","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","origin":"http://localhost:3001","content-type":"application/x-www-form-urlencoded","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","referer":"http://localhost:3001/auth/signup","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak"}
11-12-2024 00:57:45GET/auth/login{"host":"localhost:3001","connection":"keep-alive","cache-control":"max-age=0","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","referer":"http://localhost:3001/auth/signup","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak","if-none-match":"W/\"3ed-IIVc+APyPweMBR3gGnUqd8QzcAA\""}
11-12-2024 00:57:49POST/auth/login{"host":"localhost:3001","connection":"keep-alive","content-length":"25","cache-control":"max-age=0","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","origin":"http://localhost:3001","content-type":"application/x-www-form-urlencoded","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","referer":"http://localhost:3001/auth/login","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3AMmJN_cQH9PWKqmNZlV65pLvx3EdiQckj.p%2B8EDRLjwV4tDPO9J6b3glvYsOMHO%2B%2BF63qXDWb9iak"}
11-12-2024 00:57:49GET/printers{"host":"localhost:3001","connection":"keep-alive","cache-control":"max-age=0","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","referer":"http://localhost:3001/auth/login","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3ABxzXuidKzp6W3aKC5m6o1lUZwAry5Xt9.s4jivIOgYWWjFgILrDxyr6uA44qQw6TNMdrKZkc%2F9SI"}
11-12-2024 00:59:56GET/auth/login{"host":"localhost:3001","connection":"keep-alive","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"none","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3ABxzXuidKzp6W3aKC5m6o1lUZwAry5Xt9.s4jivIOgYWWjFgILrDxyr6uA44qQw6TNMdrKZkc%2F9SI"}
11-12-2024 01:00:04POST/auth/login{"host":"localhost:3001","connection":"keep-alive","content-length":"33","cache-control":"max-age=0","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","origin":"http://localhost:3001","content-type":"application/x-www-form-urlencoded","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","referer":"http://localhost:3001/auth/login","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3ABxzXuidKzp6W3aKC5m6o1lUZwAry5Xt9.s4jivIOgYWWjFgILrDxyr6uA44qQw6TNMdrKZkc%2F9SI"}
11-12-2024 01:00:04GET/auth/login{"host":"localhost:3001","connection":"keep-alive","cache-control":"max-age=0","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8","sec-gpc":"1","accept-language":"es-ES,es","sec-fetch-site":"same-origin","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","sec-ch-ua":"\"Brave\";v=\"131\", \"Chromium\";v=\"131\", \"Not_A Brand\";v=\"24\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","referer":"http://localhost:3001/auth/login","accept-encoding":"gzip, deflate, br, zstd","cookie":"iconSize=32x32; connect.sid=s%3ABxzXuidKzp6W3aKC5m6o1lUZwAry5Xt9.s4jivIOgYWWjFgILrDxyr6uA44qQw6TNMdrKZkc%2F9SI"}
